topic_group,videos,mae,mean_target
Programming | javascript tutorial,2,0.8064011480232351,-0.4390698833206361
Automotive | car accessories,14,0.7970925264959644,0.1208533650931126
Fashion | accessories styling,5,0.7956856474558164,-0.4048262291824078
Entertainment | movie explanation,3,0.7787156937015869,-1.0500186124030584
Personal Finance | passive income,8,0.7776118741588722,-0.41420849852338537
Business & Entrepreneurship | entrepreneurship,7,0.7732817126791035,0.3541002395330849
Artificial Intelligence | ai automation,14,0.7646467633597088,-0.1217161197062899
Business & Entrepreneurship | business strategy,2,0.7632680253761148,-0.7516856746700552
Music | lofi music,6,0.7622037427331674,-0.3127258966715501
Entertainment | anime review,5,0.7507411355590998,0.40254159671997236
Gaming | gaming setup,3,0.7492549098025525,-1.1065078681462246
Lifestyle | healthy lifestyle,13,0.7491927156367075,0.5014794427831286
Fitness | gym workout,5,0.7412807805727188,0.11036749388830565
Health | healthy recipes,5,0.7399321200973584,-0.020855294769847176
Pets & Animals | pet grooming,4,0.7397364037759847,1.0364443338379346
Science | chemistry basics,6,0.7362146383291304,-0.352533381433027
Pets & Animals | cute animals,34,0.7359278152323732,0.27145126673812453
Beauty | self care,12,0.7199524035829142,0.3251253620750713
Pets & Animals | aquarium setup,4,0.7181160615268605,0.47669319906573066
Business & Entrepreneurship | small business,11,0.715589918526785,0.73601115478716
Productivity & Software | excel tutorial,1,0.7075960550657827,0.5339992441838
Health | sleep health,2,0.7062483756646678,-1.4545748874855526
Gaming | free fire,9,0.7048624028937078,-0.8379859729775829
Content Creation | thumbnail design,3,0.7040759275407869,0.19123445404908188
Music | drum lessons,3,0.6992887446489061,0.5477666710875866
Programming | python tutorial,5,0.6985784615463917,1.2747308485564381
Digital Marketing | branding,3,0.6880759029936762,-0.40374495920251147
Business & Entrepreneurship | leadership,5,0.6840332061762519,-0.1471364058349934
Digital Marketing | content marketing,5,0.6809712341770393,-0.2782606514983108
Photography | photography tips,2,0.6788644363254868,-0.18181967441236146
Education | time management,7,0.6781533063677728,-0.4878190951720036
DIY & Crafts | diy projects,5,0.6778651239504836,0.6482979441268384
Science | space science,11,0.6688922988920409,-0.6663138582932604
Productivity & Software | notion tutorial,1,0.6659176158799297,-0.0149374961392005
Content Creation | capcut tutorial,5,0.6639696534456837,0.12693694375957384
Personal Finance | retirement planning,11,0.6634903225391443,-0.7765399243226901
Photography | mobile photography,2,0.6630962898714728,0.12063599202048536
Technology | laptop review,2,0.6604588155248057,1.2512828306189476
Entertainment | reaction videos,86,0.6565820810417489,-0.29039803893690497
Education | study tips,9,0.6557428821848877,-0.020194947574708917
Digital Marketing | social media marketing,2,0.6552158726209254,-0.1335707921519882
Health | nutrition,4,0.6508232016800819,-0.4116090221695941
Gaming | gaming tips,5,0.6506571012669544,-0.15299451128098124
Food & Cooking | quick dinner recipes,1,0.648888223859236,1.6123839853792
Fashion | women fashion,7,0.6437759293102102,0.5760442655487985
Programming | git github,3,0.6410078773704407,-1.607732771800988
Fashion | men fashion,3,0.6403756145221231,-0.6609925743805848
Music | music remix,29,0.6381716506943778,0.7150319164034593
Music | singing lessons,1,0.6377579934004736,0.3099251093138733
Food & Cooking | easy recipes,4,0.636295543117918,0.3208702681860873
Travel | solo travel,1,0.6359082290189668,2.138617675010135
Science | physics explained,7,0.6351973624869549,-0.797190619649422
Automotive | electric vehicles,4,0.6346372775584659,-0.6110156759257857
Lifestyle | productivity habits,1,0.6326457927735558,-1.7473310937601134
Food & Cooking | indian recipes,2,0.6176289868510909,1.1628560997211732
Digital Marketing | instagram marketing,2,0.6106215980725949,0.25196421148514503
Personal Finance | financial planning,3,0.6038426576502923,-0.2054134433909418
Artificial Intelligence | computer vision,2,0.5914461830251803,-1.2385725541750494
Data Science | numpy tutorial,2,0.5868729865157427,-1.7239702222411273
Music | guitar lessons,2,0.5754748066541991,0.5530740308163632
Data Science | power bi,3,0.5639145114121286,0.04399633040132992
DIY & Crafts | creative projects,5,0.5620326739639026,0.921926335823553
Lifestyle | morning routine,8,0.5610127077332028,-0.2479202842553181
DIY & Crafts | recycling ideas,8,0.5581925464089609,0.34649751706386733
Fitness | stretching exercises,2,0.5524539210528984,0.4712059623437401
Personal Finance | investing,5,0.5491352540670087,-0.7754377836647979
History | ancient civilizations,5,0.5451191696723996,-0.3455684034639795
Technology | smartphone review,9,0.5424851953296671,0.3723022299772079
Science | science facts,7,0.5388065922943724,-0.29618432180264165
Science | astronomy,6,0.5373675469196116,0.2098523258435391
Entertainment | comedy videos,5,0.5322628380804473,0.9418346861645169
DIY & Crafts | room decoration,4,0.5301614910020545,0.8919227006451949
DIY & Crafts | craft ideas,7,0.5245295923839299,0.651797449446991
Data Science | data analysis,1,0.5243552850656408,0.2211918166482043
Education | exam preparation,12,0.5062611540339388,-0.6313180850338028
Lifestyle | minimalism,3,0.5056479884913312,-0.55878894449465
Sports | workout for athletes,1,0.4850779830216987,0.1956565041717013
DIY & Crafts | home decor,2,0.4850129101644737,-0.011801328291824148
Productivity & Software | figma tutorial,2,0.47376968674997905,-0.7085838094965533
Artificial Intelligence | deep learning,4,0.4656746006917198,-1.1705044578734425
Business & Entrepreneurship | business case study,9,0.4641335577094605,-0.08639448533480593
Fashion | fashion tips,4,0.4603919444614605,-0.31472695510265947
Gaming | gta 5,8,0.45628928114834233,0.5883371776732744
Digital Marketing | seo tutorial,2,0.45531701420355186,-0.7505293913644433
Fitness | running,5,0.45083020833715554,0.5939743871434938
Automotive | vehicle technology,4,0.45025618883704277,0.6149286792437088
Artificial Intelligence | generative ai,4,0.44605116834085967,-0.760510663357854
Education | note taking,6,0.4417664775655789,-0.23157249906636349
Fashion | winter fashion,6,0.44145649376507584,-0.2013988111378454
Programming | web development,2,0.43772567445114896,-0.0016915933092427338
Entertainment | storytelling,5,0.43523809790143286,-1.4612297587301533
Productivity & Software | vs code tutorial,1,0.4311227375615512,-1.661060240303252
Beauty | facial routine,1,0.42110333358812735,0.2445903493607915
History | indian history,2,0.4175498224708784,0.6247051318929273
Sports | badminton,6,0.4165796952043364,0.6369458744819125
DIY & Crafts | handmade gifts,7,0.41643499662619216,0.336125907510421
Beauty | beauty tips,7,0.4127781085646296,0.6246454002325116
DIY & Crafts | paper crafts,5,0.4064882156497632,0.01852637024111985
Pets & Animals | animal facts,10,0.38330760758193944,0.4483501882058823
Entertainment | podcast,2,0.3710764759868147,0.8518685324940574
Entertainment | celebrity interview,4,0.369516683722746,0.733048966220176
Gaming | fortnite,3,0.3663380351316825,0.10967370398462728
Travel | travel guide,2,0.3635432477903983,0.0598896772511423
Fitness | home workout,2,0.3395226769620895,0.6623517260805798
Music | piano tutorial,2,0.31807509165465503,0.9852400211707779
Productivity & Software | mac tips,2,0.31740951028550923,0.690669420676282
Personal Finance | personal finance,2,0.30841341095436303,0.9161694479349407
Fashion | street style,3,0.297723426654537,0.11501170808891575
Digital Marketing | marketing strategy,1,0.29470446895343666,0.3501892781208617
Photography | composition tips,1,0.2923109249673559,1.3204181504735466
Travel | road trip,2,0.2854402729046276,-0.03456613275184306
Automotive | driving tips,2,0.27926996948292926,0.31493307998365694
Automotive | car review,1,0.26849302807169884,0.6408130088185917
Food & Cooking | healthy recipes,1,0.2678444788524712,1.0178329452105892
Health | healthy lifestyle,4,0.2660698275887112,0.4589576230031049
Entertainment | movie review,1,0.2524700917084959,1.055492919967186
Sports | football training,1,0.24424242772457733,-0.4002396114370405
Beauty | natural skincare,4,0.24406548499543734,0.6046136875359851
Beauty | makeup tutorial,1,0.24404524024554908,0.1167749844225021
Travel | international travel,1,0.19709443622150333,-0.201749133086265
Fashion | summer outfits,1,0.19623839427872247,0.3472666295665441
DIY & Crafts | woodworking,2,0.18855601870658267,0.17522985158885085
Food & Cooking | home cooking,2,0.16543961527315393,-0.37783918342549677
Travel | best places to visit,2,0.16306289418125755,-0.10687694334292355
Travel | budget travel,4,0.13029845351764702,1.0586473149644355
Content Creation | content strategy,1,0.13016216234280975,-1.0395549393893972
Artificial Intelligence | chatgpt tutorial,2,0.12193417635735626,-0.996828395374874
Science | earth science,1,0.12078444583210235,-0.6920516483392376
Fitness | fitness tips,2,0.09946712427761296,0.6594863434099167
Beauty | acne treatment,1,0.0948998356789716,-0.038195002458508
Technology | internet of things,2,0.0789198449284999,-1.0884949971488656
Food & Cooking | cooking tips,2,0.06191137562107632,0.4694726023553937
Travel | travel vlog,1,0.04956880188692758,1.4629009199605143
Photography | camera review,1,0.015186844957099321,0.9201662971813764
Gaming | call of duty,1,0.014323013214796676,0.8591533042734021
Education | learning techniques,1,0.005309742701372855,0.4438671515380932
