target_range,videos,mae,mean_prediction,mean_actual
< -2,94,1.7119264584244802,-0.9468248575813714,-2.656612559499037
-2 to -1,223,0.917175945910729,-0.5883221919269925,-1.4446712260026233
-1 to 0,312,0.5843443507622234,-0.18214035937900339,-0.48862310816342386
0 to 1,303,0.4869054820846727,0.31637758997473053,0.508387078941331
1 to 2,232,0.8588530579547575,0.6100627629841564,1.4152954039680445
> 2,77,1.3621242069230468,1.0506609696078424,2.4127851765308894
