channel_size_group,videos,mae,median_error,mean_target
0-1K,75,0.9841149108895824,0.8036023273452031,-0.5304582157997793
100K-1M,369,0.7225164844020789,0.6235262852236112,0.03495647583222735
10K-100K,503,0.7832755543512642,0.6052380706776885,0.0753086192269901
1K-10K,216,0.8972753283240481,0.7333660214498481,-0.07940239020731014
1M+,78,0.9130810141060969,0.8709734621283898,-0.6410678088371811
